sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Burglary Conveyance Unoccup,1
Male,Less than 25,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Female,25 - 45,African-American,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft of the 2nd Degree,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery (Dom Strang),0
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Grand Theft (Motor Vehicle),1
Male,Less than 25,African-American,None,None,None,None,F,Resist Officer w/Violence,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,None,F,Burglary Conveyance Unoccup,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,Failure To Return Hired Vehicle,0
Female,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Hydromorphone,0
Male,25 - 45,Hispanic,None,None,None,5+ to 15,M,Viol Pretrial Release Dom Viol,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Felony Battery (Dom Strang),0
Male,25 - 45,African-American,None,None,None,15+ to 25,F,Possession of Cocaine,1
Male,Less than 25,Caucasian,4+,None,None,1 to 5,F,Burglary Conveyance Unoccup,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,"Poss3,4 Methylenedioxymethcath",1
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Felony Driving While Lic Suspd,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,M,Viol Injunct Domestic Violence,1
Female,Less than 25,Caucasian,None,None,None,None,M,Poss Of Controlled Substance,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Corrupt Public Servant,1
Male,25 - 45,African-American,None,1 to 2,None,15+ to 25,F,Poss of Cocaine W/I/D/S 1000FT Park,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Tampering With Physical Evidence,1
Male,Less than 25,African-American,None,None,None,None,F,"Deliver 3,4 Methylenediox",0
Male,25 - 45,Hispanic,None,None,None,1 to 5,M,Operating W/O Valid License,0
Female,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Grand Theft (Motor Vehicle),0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Viol Injunct Domestic Violence,0
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,1
Male,25 - 45,African-American,4+,None,None,5+ to 15,F,Burglary Conveyance Unoccup,1
Female,Greater than 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Female,Less than 25,African-American,None,None,None,None,M,Battery,0
Male,25 - 45,Hispanic,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,0
Female,25 - 45,Hispanic,None,None,None,None,F,Felony Driving While Lic Suspd,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession Of Alprazolam,1
Male,Less than 25,Hispanic,None,None,None,None,M,Battery,1
Male,Greater than 45,Hispanic,None,None,None,None,F,Resist Officer w/Violence,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Grand Theft (Motor Vehicle),0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Other,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Agg Assault W/int Com Fel Dome,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,African-American,None,1 to 2,1 to 2,1 to 5,F,Carrying Concealed Firearm,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Pos Cannabis W/Intent Sel/Del,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,DUI Property Damage/Injury,0
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,F,Possession of Cocaine,1
Female,Greater than 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,1
Male,25 - 45,African-American,None,None,None,15+ to 25,F,Felony Battery,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,Caucasian,None,1 to 2,None,1 to 5,M,Battery,1
Female,25 - 45,African-American,None,2+,None,15+ to 25,F,Possession of Cocaine,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Female,25 - 45,Caucasian,None,None,None,None,M,Possess Cannabis/20 Grams Or Less,1
Male,Less than 25,African-American,None,None,None,None,F,Aggravated Assault W/dead Weap,0
Male,25 - 45,African-American,None,None,None,None,F,Contradict Statement,1
Female,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,DWI w/Inj Susp Lic / Habit Off,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,Poss Pyrrolidinovalerophenone,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,Less than 25,African-American,None,1 to 2,None,1 to 5,F,Aggravated Battery / Pregnant,1
Male,25 - 45,Asian,None,None,None,5+ to 15,M,Battery,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,25 - 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession Of Alprazolam,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Stalking (Aggravated),0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Stalking (Aggravated),0
Male,25 - 45,Caucasian,None,None,None,None,M,DUI Blood Alcohol Above 0.20,0
Male,25 - 45,Caucasian,None,None,None,None,F,Felony Battery (Dom Strang),0
Female,25 - 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,1
Male,25 - 45,Hispanic,None,None,None,None,F,Agg Battery Grt/Bod/Harm,0
Male,Greater than 45,African-American,1 to 4,None,1 to 2,15+ to 25,F,Felony Petit Theft,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,M,Possess Cannabis/20 Grams Or Less,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Poss Contr Subst W/o Prescript,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Aggrav Battery w/Deadly Weapon,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Female,Less than 25,Hispanic,None,2+,1 to 2,5+ to 15,M,Battery,1
Female,25 - 45,African-American,1 to 4,None,None,1 to 5,M,Battery,1
Female,25 - 45,Hispanic,None,None,None,1 to 5,F,Poss Alprazolam W/int Sell/Del,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,None,F,Grand Theft (Motor Vehicle),0
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Female,Greater than 45,Hispanic,None,None,None,None,M,Battery,0
Male,25 - 45,Other,None,None,None,5+ to 15,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Assault,1
Female,25 - 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,1
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,Greater than 45,Hispanic,None,None,None,5+ to 15,F,Felony Battery w/Prior Convict,0
Male,Less than 25,Hispanic,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Petit Theft,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,Less than 25,African-American,None,None,2+,5+ to 15,F,Grand Theft (Motor Vehicle),1
Male,25 - 45,Caucasian,None,None,None,None,F,Possession Burglary Tools,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Felony Petit Theft,1
Male,Greater than 45,African-American,1 to 4,None,1 to 2,15+ to 25,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Driving License Suspended,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,25 - 45,African-American,None,None,None,None,F,Possession Of Heroin,1
Male,25 - 45,Caucasian,None,None,None,None,M,Petit Theft,1
Male,25 - 45,African-American,None,1 to 2,None,1 to 5,F,Aggravated Assault W/dead Weap,1
Male,25 - 45,Caucasian,None,None,None,None,M,Viol Injunct Domestic Violence,1
Male,Less than 25,African-American,None,None,None,None,F,Felony Battery (Dom Strang),0
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Female,25 - 45,African-American,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,Caucasian,None,None,None,None,F,Att Burgl Unoccupied Dwel,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Aggravated Battery / Pregnant,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Burglary Conveyance Armed,0
Male,Less than 25,African-American,None,1 to 2,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Resist Officer w/Violence,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Leave Acc/Attend Veh/More $50,1
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,M,Possess Cannabis/20 Grams Or Less,1
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,None,M,Driving Under The Influence,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Poss Drugs W/O A Prescription,0
Male,25 - 45,African-American,None,None,1 to 2,15+ to 25,F,Fleeing Or Attmp Eluding A Leo,1
Male,25 - 45,Hispanic,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,25 - 45,African-American,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Unlaw Lic Use/Disply Of Others,1
Male,25 - 45,Caucasian,None,None,None,15+ to 25,F,Felony Battery (Dom Strang),1
Female,Greater than 45,African-American,None,None,None,1 to 5,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,None,None,None,None,F,Aggravated Battery / Pregnant,1
Male,25 - 45,African-American,None,None,None,None,M,arrest case no charge,0
Male,25 - 45,African-American,1 to 4,2+,1 to 2,15+ to 25,F,Driving While License Revoked,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Possession of Codeine,0
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,1 to 4,None,None,1 to 5,F,Possession of Cannabis,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,Less than 25,African-American,None,None,None,None,M,Battery,1
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Driving While License Revoked,0
Female,25 - 45,Other,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,None,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,None,None,None,None,F,"Del 3,4 Methylenedioxymethcath",0
Male,25 - 45,African-American,None,None,None,None,F,Possession Of Methamphetamine,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Uttering a Forged Instrument,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Driving While License Revoked,1
Female,Greater than 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,None,F,Felony Battery (Dom Strang),0
Female,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Possession Of Amphetamine,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,0
Male,Less than 25,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,F,Driving While License Revoked,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,Less than 25,Hispanic,None,None,None,1 to 5,M,Battery,1
Male,Less than 25,African-American,4+,None,None,5+ to 15,F,Burglary Conveyance Unoccup,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Grand Theft (Motor Vehicle),1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Burglary Structure Unoccup,1
Female,25 - 45,African-American,None,None,None,1 to 5,M,Battery on Law Enforc Officer,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Discharge Firearm From Vehicle,1
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Lease For Purpose Trafficking,0
Male,Less than 25,Caucasian,None,None,None,None,F,Possession Of Alprazolam,1
Male,25 - 45,African-American,None,None,None,15+ to 25,M,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,DUI Blood Alcohol Above 0.20,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,arrest case no charge,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Viol Prot Injunc Repeat Viol,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Felony Battery (Dom Strang),0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Resist/Obstruct W/O Violence,1
Male,Greater than 45,African-American,None,None,None,None,M,Poss Of RX Without RX,0
Male,Greater than 45,Caucasian,None,None,None,None,F,Lewd or Lascivious Molestation,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Agg Assault W/int Com Fel Dome,1
Female,25 - 45,Caucasian,None,None,None,None,F,Poss Pyrrolidinovalerophenone,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Fraudulent Use of Credit Card,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Aggravated Assault W/Dead Weap,1
Male,25 - 45,African-American,None,None,None,None,F,Felony Driving While Lic Suspd,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Burglary Conveyance Unoccup,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Poss Pyrrolidinovalerophenone,1
Male,25 - 45,Other,None,None,None,1 to 5,F,Lewd/Lasciv Molest Elder Persn,0
Male,Less than 25,Hispanic,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,0
Female,25 - 45,Hispanic,None,None,None,None,F,Agg Battery Grt/Bod/Harm,0
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,F,arrest case no charge,0
Male,Greater than 45,Hispanic,None,None,None,15+ to 25,F,arrest case no charge,0
Male,Greater than 45,Hispanic,None,None,None,None,M,Viol Injunct Domestic Violence,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,0
Male,25 - 45,Other,None,None,None,5+ to 15,F,Aggravated Assault W/Dead Weap,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Female,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Female,Less than 25,Caucasian,None,None,1 to 2,5+ to 15,M,arrest case no charge,1
Female,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,25 - 45,Caucasian,None,None,None,None,M,Carrying A Concealed Weapon,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Aggravated Assault W/dead Weap,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,M,Viol Injunct Domestic Violence,1
Male,Less than 25,African-American,None,1 to 2,None,1 to 5,F,Burglary Dwelling Occupied,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Dealing in Stolen Property,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,F,Burglary Conveyance Unoccup,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery (Dom Strang),1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,1
Female,Less than 25,Caucasian,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,Less than 25,Hispanic,1 to 4,None,None,1 to 5,F,arrest case no charge,1
Male,Less than 25,African-American,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Female,Less than 25,African-American,None,None,None,None,F,Battery on Law Enforc Officer,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,25+,F,Poss Contr Subst W/o Prescript,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Aggravated Assault W/Dead Weap,0
Female,Less than 25,African-American,None,None,None,None,F,Possession Burglary Tools,1
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,F,Poss Pyrrolidinovalerophenone,1
Female,25 - 45,African-American,None,None,None,None,M,Petit Theft $100- $300,0
Male,25 - 45,Other,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Possession of Cocaine,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,Aggravated Assault W/Dead Weap,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Felony Battery,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Driving Under The Influence,0
Male,Less than 25,Caucasian,None,None,1 to 2,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Attempted Burg/Convey/Unocc,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,Other,None,None,None,None,F,Aggravated Assault,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Robbery W/Firearm,1
Male,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Male,Less than 25,African-American,None,None,None,None,M,Battery,0
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,Asian,None,None,None,1 to 5,M,Battery,0
Male,Less than 25,Other,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,African-American,None,None,None,None,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Felony Battery (Dom Strang),0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Burglary Dwelling Armed,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Opert With Susp DL 2ND Offense,0
Male,Greater than 45,African-American,1 to 4,None,None,5+ to 15,F,Driving While License Revoked,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Resist Officer w/Violence,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,0
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,M,Battery,0
Female,Less than 25,African-American,None,None,None,None,F,Aggravated Assault W/Dead Weap,1
Male,25 - 45,Caucasian,None,None,None,15+ to 25,F,Possession of Oxycodone,1
Male,25 - 45,Other,None,None,None,None,F,arrest case no charge,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,Greater than 45,African-American,None,None,None,15+ to 25,F,Possession of Cocaine,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,M,DUI - Enhanced,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Felony Battery w/Prior Convict,0
Male,25 - 45,Caucasian,None,None,None,None,F,Tampering With Physical Evidence,0
Male,Greater than 45,Other,None,None,None,5+ to 15,F,Carrying Concealed Firearm,0
Male,25 - 45,African-American,None,2+,None,5+ to 15,F,Tampering With Physical Evidence,1
Male,Less than 25,Caucasian,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,Caucasian,None,None,None,None,F,Driving While License Revoked,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,African-American,None,None,None,25+,F,Possession of Cocaine,1
Female,25 - 45,African-American,None,None,None,1 to 5,F,Battery on Law Enforc Officer,1
Male,25 - 45,African-American,None,None,None,None,F,Tampering With Physical Evidence,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Aggrav Child Abuse-Agg Battery,0
Female,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Aggrav Battery w/Deadly Weapon,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,1 to 2,5+ to 15,F,Dealing in Stolen Property,1
Male,25 - 45,African-American,1 to 4,None,1 to 2,15+ to 25,M,Battery,1
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,M,Aggravated Battery / Pregnant,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Aggravated Assault W/Dead Weap,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,15+ to 25,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,None,F,Fleeing or Eluding a LEO,1
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,F,Possession of Cannabis,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Driving While License Revoked,0
Female,Less than 25,Caucasian,None,None,None,None,F,Uttering a Forged Instrument,0
Male,25 - 45,African-American,None,None,None,None,F,Driving While License Revoked,1
Male,Less than 25,Caucasian,None,None,None,None,F,Child Abuse,0
Female,Less than 25,Caucasian,None,None,None,None,F,Possession of Cocaine,0
Female,Greater than 45,African-American,None,None,None,None,M,DUI Property Damage/Injury,0
Male,25 - 45,African-American,None,None,None,None,M,Driving Under The Influence,1
Male,Greater than 45,African-American,None,None,None,1 to 5,M,Battery,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Del Cannabis At/Near Park,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Felony Driving While Lic Suspd,1
Female,Greater than 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,0
Female,25 - 45,African-American,None,None,None,5+ to 15,M,Trespass Structure/Conveyance,0
Female,Less than 25,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Burglary Conveyance Assault/Bat,0
Male,Greater than 45,African-American,None,None,None,1 to 5,M,DUI - Enhanced,0
Male,Greater than 45,Caucasian,None,None,None,None,F,Possession of Cocaine,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Robbery W/Firearm,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,None,F,Manufacture Cannabis,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,None,None,None,None,F,Poss Wep Conv Felon,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Felony Battery w/Prior Convict,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,M,Resist/Obstruct W/O Violence,0
Male,Less than 25,African-American,None,None,None,None,F,Possession of Cannabis,1
Female,25 - 45,African-American,None,None,None,None,M,Assault,0
Male,Less than 25,African-American,None,None,1 to 2,None,F,Uttering a Forged Instrument,1
